t   s   v   a   -
7,25	0,0750	-0,648	0,810	
7,30	0,0420	-0,603	2,103	
7,35	0,0090	-0,443	3,373	
7,40	-0,0070	-0,200	3,335	
7,45	-0,0060	-0,047	2,031	
7,50	-0,0060	-0,007	0,789	
7,55	-0,0060	-0,002	0,176	
7,60	-0,0060	-0,007	0,006	
7,65	-0,0070	-0,007	0,031	
7,70	-0,0070	-0,002	0,046	
7,75	-0,0070	-0,001	0,027	
7,80	-0,0070	0,000	0,010	
7,85	-0,0070	0,000	0,002	
7,90	-0,0070	0,000	0,000	
7,95	-0,0070	0,000	0,000	
8,00	-0,0070	0,000	0,000	
8,05	-0,0070	0,000	0,000	
8,10	-0,0070	0,000	0,000	
8,15	-0,0070	0,000	0,000	
8,20	-0,0070	0,000	0,000	
8,25	-0,0070	0,000	0,000	
8,30	-0,0070	0,000	0,000	
8,35	-0,0070	0,000	0,000	
8,40	-0,0070	0,000	0,000	
8,45	-0,0070	0,000	0,000	
8,50	-0,0070	0,000	0,000	
8,55	-0,0070	0,000	0,000	
8,60	-0,0070	0,000	0,000	
8,65	-0,0070	0,000	0,000	
8,70	-0,0070	0,000	0,000	
8,75	-0,0070	0,000	0,000	
8,80	-0,0070	0,000	0,000	
8,85	-0,0070	0,000	0,000	
8,90	-0,0070	0,000	0,000	
8,95	-0,0070	0,000	0,000	
9,00	-0,0070	0,000	0,000	
9,05	-0,0070	0,000	0,000	
9,10	-0,0070	0,000	0,000	
9,15	-0,0070	0,000	0,000	
9,20	-0,0070	0,000	0,000	
9,25	-0,0070	0,000	0,000	
9,30	-0,0070	0,000	0,000	
9,35	-0,0070	0,000	0,000	
9,40	-0,0070	0,000	0,000	
9,45	-0,0070	0,000	0,000	
9,50	-0,0070	0,000	0,000	
9,55	-0,0070	0,000	0,000	
9,60	-0,0070	0,000	0,000	
9,65	-0,0070	0,000	0,000	
9,70	-0,0070	0,000	0,000	
9,75	-0,0070	0,000	0,000	
9,80	-0,0070	0,000	0,000	
9,85	-0,0070	0,000	0,000	
9,90	-0,0070	0,000	0,000	
9,95	-0,0070	0,000	0,000	
10,00	-0,0070	0,000	0,000   
