s   N   -
0,00	0,19	
0,02	0,10	
0,04	0,16	
0,06	0,12	
0,08	0,14	
0,10	0,21	
0,12	0,09	
0,14	0,18	
0,16	0,09	
0,18	0,17	
0,20	0,16	
0,22	0,15	
0,24	0,19	
0,26	0,09	
0,28	0,16	
0,30	0,11	
0,32	0,15	
0,34	0,19	
0,36	0,13	
0,38	0,18	
0,40	0,09	
0,42	0,14	
0,44	0,13	
0,46	0,11	
0,48	0,20	
0,50	0,12	
0,52	0,19	
0,54	0,11	
0,56	0,12	
0,58	0,17	
0,60	0,12	
0,62	0,21	
0,64	0,10	
0,66	0,16	
0,68	0,14	
0,70	0,11	
0,72	0,19	
0,74	0,08	
0,76	0,21	
0,78	0,12	
0,80	0,15	
0,82	0,15	
0,84	0,11	
0,86	0,22	
0,88	0,08	
0,90	0,19	
0,92	0,09	
0,94	0,14	
0,96	0,18	
0,98	0,12	
1,00	0,19	
1,02	0,10	
1,04	0,16	
1,06	0,15	
1,08	0,11	
1,10	0,19	
1,12	0,13	
1,14	0,21	
1,16	0,13	
1,18	0,12	
1,20	0,17	
1,22	0,10	
1,24	0,20	
1,26	0,12	
1,28	0,18	
1,30	0,15	
1,32	0,11	
1,34	0,18	
1,36	0,08	
1,38	0,21	
1,40	0,13	
1,42	0,16	
1,44	0,16	
1,46	0,10	
1,48	0,19	
1,50	0,10	
1,52	0,18	
1,54	0,11	
1,56	0,12	
1,58	0,19	
1,60	0,12	
1,62	0,19	
1,64	0,11	
1,66	0,15	
1,68	0,17	
1,70	0,08	
1,72	0,19	
1,74	0,11	
1,76	0,21	
1,78	0,14	
1,80	0,13	
1,82	0,16	
1,84	0,09	
1,86	0,19	
1,88	0,11	
1,90	0,17	
1,92	0,15	
1,94	0,14	
1,96	0,16	
1,98	0,10	
2,00	0,17	
2,02	0,13	
2,04	0,14	
2,06	0,18	
2,08	0,12	
2,10	0,21	
2,12	0,10	
2,14	0,16	
2,16	0,14	
2,18	0,13	
2,20	0,18	
2,22	0,11	
2,24	0,17	
2,26	0,15	
2,28	0,14	
2,30	0,17	
2,32	0,09	
2,34	0,21	
2,36	0,11	
2,38	0,16	
2,40	0,14	
2,42	0,12	
2,44	0,19	
2,46	0,09	
2,48	0,18	
2,50	0,11	
2,52	0,15	
2,54	0,18	
2,56	0,13	
2,58	0,19	
2,60	0,09	
2,62	0,17	
2,64	0,15	
2,66	0,11	
2,68	0,21	
2,70	0,11	
2,72	0,21	
2,74	0,09	
2,76	0,16	
2,78	0,15	
2,80	0,11	
2,82	0,19	
2,84	0,10	
2,86	0,20	
2,88	0,12	
2,90	0,14	
2,92	0,18	
2,94	0,10	
2,96	0,20	
2,98	0,11	
3,00	0,17	
3,02	0,15	
3,04	0,12	
3,06	0,21	
3,08	0,08	
3,10	0,20	
3,12	0,11	
3,14	0,15	
3,16	0,16	
3,18	0,13	
3,20	0,19	
3,22	0,12	
3,24	0,16	
3,26	0,13	
3,28	0,11	
3,30	0,19	
3,32	0,12	
3,34	0,19	
3,36	0,12	
3,38	0,14	
3,40	0,17	
3,42	0,07	
3,44	0,21	
3,46	0,11	
3,48	0,19	
3,50	0,13	
3,52	0,14	
3,54	0,18	
3,56	0,09	
3,58	0,19	
3,60	0,11	
3,62	0,16	
3,64	0,16	
3,66	0,11	
3,68	0,21	
3,70	0,09	
3,72	0,17	
3,74	0,12	
3,76	0,12	
3,78	0,20	
3,80	0,10	
3,82	0,19	
3,84	0,09	
3,86	0,17	
3,88	0,15	
3,90	0,12	
3,92	0,18	
3,94	0,11	
3,96	0,21	
3,98	0,12	
4,00	0,15	
4,02	0,16	
4,04	0,09	
4,06	0,19	
4,08	0,09	
4,10	0,16	
4,12	0,16	
4,14	0,13	
4,16	0,20	
4,18	0,08	
4,20	0,18	
4,22	0,12	
4,24	0,13	
4,26	0,18	
4,28	0,12	
4,30	0,20	
4,32	0,10	
4,34	0,17	
4,36	0,13	
4,38	0,11	
4,40	0,19	
4,42	0,09	
4,44	0,21	
4,46	0,12	
4,48	0,16	
4,50	0,14	
4,52	0,10	
4,54	0,19	
4,56	0,10	
4,58	0,16	
4,60	0,15	
4,62	0,11	
4,64	0,19	
4,66	0,08	
4,68	0,18	
4,70	0,11	
4,72	0,14	
4,74	0,17	
4,76	0,10	
4,78	0,19	
4,80	0,11	
4,82	0,18	
4,84	0,12	
4,86	0,11	
4,88	0,18	
4,90	0,09	
4,92	0,19	
4,94	0,13	
4,96	0,13	
4,98	0,17	
5,00	0,09	
